No.,회계연도,소관명,회계명,계정명,수입관명,수입항명,수입목명,수입구분명,정부안금액(천원),국회확정금액(천원)
"134","2023","과학기술정보통신부","우체국예금특별회계","자본계정","기업특별회계영업수입","우정사업수입","금융영업이자수입","일반수입","7,000","7,000"
"135","2023","과학기술정보통신부","우편사업특별회계","손익계정","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","3,240,000","3,240,000"
"136","2023","과학기술정보통신부","우편사업특별회계","손익계정","경상이전수입","변상금및위약금","변상금","일반수입","275,000","275,000"
"137","2023","과학기술정보통신부","우편사업특별회계","손익계정","경상이전수입","변상금및위약금","위약금","일반수입","219,000","219,000"
"138","2023","과학기술정보통신부","우편사업특별회계","손익계정","기업특별회계영업수입","우정사업수입","우편사업수입","일반수입","3,176,194,000","3,176,194,000"
"139","2023","과학기술정보통신부","우편사업특별회계","손익계정","재산수입","관유물대여료","건물대여료","일반수입","51,335,000","51,335,000"
"140","2023","과학기술정보통신부","우편사업특별회계","손익계정","재산수입","관유물대여료","토지대여료","일반수입","1,486,000","1,486,000"
"141","2023","과학기술정보통신부","우편사업특별회계","손익계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","2,961,000","2,961,000"
"142","2023","과학기술정보통신부","우편사업특별회계","손익계정","재산수입","기타이자수입및재산수입","기타재산이자외수입","일반수입","3,269,000","3,269,000"
"143","2023","과학기술정보통신부","우편사업특별회계","손익계정","재화및용역판매수입","잡수입","기타영업외잡수익","일반수입","1,635,000","1,635,000"
"144","2023","과학기술정보통신부","우편사업특별회계","자본계정","관유물매각대","고정자산매각대","건물매각대","일반수입","2,041,000","2,041,000"
"145","2023","과학기술정보통신부","우편사업특별회계","자본계정","관유물매각대","고정자산매각대","기계기구매각대","일반수입","899,000","899,000"
"146","2023","과학기술정보통신부","우편사업특별회계","자본계정","관유물매각대","고정자산매각대","기타고정자산매각대","일반수입","10,000","10,000"
"147","2023","과학기술정보통신부","우편사업특별회계","자본계정","관유물매각대","재고자산매각대및유동자산","유동자산매각대","일반수입","305,000","305,000"
"148","2023","과학기술정보통신부","우편사업특별회계","자본계정","관유물매각대","토지및무형자산매각대","기타토지및무형자산매각대","일반수입","2,335,000","2,335,000"
"149","2023","과학기술정보통신부","우편사업특별회계","자본계정","관유물매각대","토지및무형자산매각대","토지매각대","일반수입","21,076,000","21,076,000"
"150","2023","과학기술정보통신부","우편사업특별회계","자본계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","7,000","7,000"
"151","2023","과학기술정보통신부","원자력기금","원자력안전규제계정","경상이전수입","가산금","가산금","일반수입","3,000","3,000"
"152","2023","과학기술정보통신부","원자력기금","원자력안전규제계정","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","10,374,000","10,374,000"
"153","2023","과학기술정보통신부","원자력기금","원자력안전규제계정","경상이전수입","기타경상이전수입","민간출연금","일반수입","10,000,000","10,000,000"
"154","2023","과학기술정보통신부","원자력기금","원자력안전규제계정","경상이전수입","기타경상이전수입","법정부담금","일반수입","114,655,000","114,655,000"
"155","2023","과학기술정보통신부","원자력기금","원자력안전규제계정","경상이전수입","벌금,몰수금및과태료","과징금","일반수입","2,728,000","2,728,000"
"156","2023","과학기술정보통신부","원자력기금","원자력안전규제계정","경상이전수입","벌금,몰수금및과태료","과태료","일반수입","304,000","304,000"
"157","2023","과학기술정보통신부","원자력기금","원자력안전규제계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","1,419,000","1,419,000"
"158","2023","과학기술정보통신부","원자력기금","원자력연구개발계정","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","4,200,000","4,200,000"
"159","2023","과학기술정보통신부","원자력기금","원자력연구개발계정","경상이전수입","기타경상이전수입","법정부담금","일반수입","189,618,000","189,618,000"
"160","2023","과학기술정보통신부","원자력기금","원자력연구개발계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","302,000","302,000"
"161","2023","과학기술정보통신부","일반회계","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","65,179,000","65,179,000"
"162","2023","과학기술정보통신부","일반회계","","경상이전수입","벌금,몰수금및과태료","과징금","일반수입","876,000","876,000"
"163","2023","과학기술정보통신부","일반회계","","경상이전수입","벌금,몰수금및과태료","과태료","일반수입","1,007,000","1,007,000"
"164","2023","과학기술정보통신부","일반회계","","재산수입","관유물대여료","토지대여료","일반수입","126,000","126,000"
"165","2023","과학기술정보통신부","일반회계","","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","5,199,000","5,199,000"
"166","2023","과학기술정보통신부","일반회계","","재화및용역판매수입","면허료및수수료","면허료및수수료","일반수입","257,952,000","257,952,000"
"167","2023","과학기술정보통신부","일반회계","","재화및용역판매수입","잡수입","기타잡수입","일반수입","28,000","28,000"
"168","2023","과학기술정보통신부","정보통신진흥기금","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","79,970,000","79,970,000"
"169","2023","과학기술정보통신부","정보통신진흥기금","","경상이전수입","기타경상이전수입","법정부담금","일반수입","982,472,000","982,472,000"
"170","2023","과학기술정보통신부","정보통신진흥기금","","융자및전대차관원금회수","융자원금회수","통화금융기관융자원금회수","일반수입","30,113,000","30,113,000"
"171","2023","과학기술정보통신부","정보통신진흥기금","","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","4,658,000","4,658,000"
"172","2023","과학기술정보통신부","정보통신진흥기금","","재산수입","기타이자수입및재산수입","통화금융기관이자수입","일반수입","192,000","192,000"
"173","2023","관세청","일반회계","","경상이전수입","가산금","가산금","일반수입","1,356,000","1,356,000"
"174","2023","관세청","일반회계","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","430,000","430,000"
"175","2023","관세청","일반회계","","경상이전수입","벌금,몰수금및과태료","과징금","일반수입","3,068,000","3,068,000"
"176","2023","관세청","일반회계","","경상이전수입","벌금,몰수금및과태료","과태료","일반수입","7,426,000","7,426,000"
"177","2023","관세청","일반회계","","경상이전수입","벌금,몰수금및과태료","몰수금및추징금","일반수입","2,485,000","2,485,000"
"178","2023","관세청","일반회계","","경상이전수입","벌금,몰수금및과태료","벌금및과료","일반수입","3,790,000","3,790,000"
"179","2023","관세청","일반회계","","경상이전수입","벌금,몰수금및과태료","징계부과금","일반수입","10,000","10,000"
"180","2023","관세청","일반회계","","경상이전수입","변상금및위약금","위약금","일반수입","39,000","39,000"
"181","2023","관세청","일반회계","","관유물매각대","고정자산매각대","기계기구매각대","일반수입","6,000","6,000"
"182","2023","관세청","일반회계","","재산수입","관유물대여료","건물대여료","일반수입","294,000","294,000"
"183","2023","관세청","일반회계","","재산수입","관유물대여료","토지대여료","일반수입","40,000","40,000"
"184","2023","관세청","일반회계","","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","5,000","5,000"
"185","2023","관세청","일반회계","","재화및용역판매수입","면허료및수수료","면허료및수수료","일반수입","74,913,000","74,913,000"
"186","2023","관세청","일반회계","","재화및용역판매수입","잡수입","기타잡수입","일반수입","762,000","762,000"
"187","2023","교육부","국가균형발전특별회계","지역지원계정","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","12,703,000","12,703,000"
"188","2023","교육부","국가균형발전특별회계","지역지원계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","2,541,000","2,541,000"
"189","2023","교육부","사립학교교직원연금기금","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","44,498,000","44,498,000"
"190","2023","교육부","사립학교교직원연금기금","","사회보장기여금","사회보장기여금","고용주부담금","일반수입","1,815,668,000","1,815,668,000"
"191","2023","교육부","사립학교교직원연금기금","","사회보장기여금","사회보장기여금","피고용자분담금","일반수입","2,003,739,000","2,003,739,000"
"192","2023","교육부","사립학교교직원연금기금","","융자및전대차관원금회수","융자원금회수","기타민간융자원금회수","일반수입","1,027,623,000","1,027,623,000"
"193","2023","교육부","사립학교교직원연금기금","","재산수입","관유물대여료","건물대여료","일반수입","6,590,000","6,590,000"
"194","2023","교육부","사립학교교직원연금기금","","재산수입","관유물대여료","토지대여료","일반수입","10,580,000","10,580,000"
"195","2023","교육부","사립학교교직원연금기금","","재산수입","기타이자수입및재산수입","기타민간이자수입","일반수입","72,899,000","72,899,000"
"196","2023","교육부","사립학교교직원연금기금","","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","804,475,000","804,475,000"
"197","2023","교육부","사립학교교직원연금기금","","재산수입","기타이자수입및재산수입","비통화금융기관이자수입","일반수입","254,324,000","254,324,000"
"198","2023","교육부","사립학교교직원연금기금","","재산수입","기타이자수입및재산수입","통화금융기관이자수입","일반수입","4,447,000","4,447,000"
"199","2023","교육부","사립학교교직원연금기금","","재화및용역판매수입","잡수입","기타잡수입","일반수입","902,000","902,000"
"200","2023","교육부","사학진흥기금","사학지원계정","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","2,010,000","2,010,000"
"201","2023","교육부","사학진흥기금","사학지원계정","수입대체경비수입","잡수입","기타잡수입","일반수입","1,229,000","1,229,000"
"202","2023","교육부","사학진흥기금","사학지원계정","융자및전대차관원금회수","융자원금회수","기타민간융자원금회수","일반수입","137,994,000","137,994,000"
"203","2023","교육부","사학진흥기금","사학지원계정","재산수입","기타이자수입및재산수입","기타민간이자수입","일반수입","28,482,000","28,482,000"
"204","2023","교육부","사학진흥기금","사학지원계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","1,247,000","1,247,000"
"205","2023","교육부","일반회계","","경상이전수입","가산금","가산금","일반수입","9,000","9,000"
"206","2023","교육부","일반회계","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","187,800,000","187,800,000"
"207","2023","교육부","일반회계","","경상이전수입","벌금,몰수금및과태료","과태료","일반수입","8,000","8,000"
"208","2023","교육부","일반회계","","경상이전수입","벌금,몰수금및과태료","징계부과금","일반수입","55,000","55,000"
"209","2023","교육부","일반회계","","경상이전수입","변상금및위약금","변상금","일반수입","54,000","54,000"
"210","2023","교육부","일반회계","","경상이전수입","변상금및위약금","위약금","일반수입","116,000","116,000"
"211","2023","교육부","일반회계","","관유물매각대","고정자산매각대","기타고정자산매각대","일반수입","559,000","559,000"
"212","2023","교육부","일반회계","","관유물매각대","재고자산매각대및유동자산","재고자산매각대","일반수입","113,000","113,000"
"213","2023","교육부","일반회계","","관유물매각대","토지및무형자산매각대","토지매각대","일반수입","1,929,000","1,929,000"
"214","2023","교육부","일반회계","","수입대체경비수입","면허료및수수료","면허료및수수료","일반수입","17,680,000","17,680,000"
